benchmark,config,run,wall_ms,nodes,classes,iterations
math-microbenchmark,egglog,3,524.113,1047896,,11
math-microbenchmark,egglog,4,519.864,1047896,,11
math-microbenchmark,egglog,5,525.775,1047896,,11
math-microbenchmark,egglog,6,522.270,1047896,,11
math-microbenchmark,egglog,7,523.589,1047896,,11
math-microbenchmark,egglog,8,530.623,1047896,,11
math-microbenchmark,egglog,9,522.769,1047896,,11
math-microbenchmark,egglog,10,527.103,1047896,,11
math-microbenchmark,ours-rules-naive,1,751.058,1233013,507992,11
math-microbenchmark,ours-rules-naive,2,751.561,1233013,507992,11
math-microbenchmark,ours-rules-naive,3,752.139,1233013,507992,11
math-microbenchmark,ours-rules-naive,4,739.486,1233013,507992,11
math-microbenchmark,ours-rules-naive,5,744.709,1233013,507992,11
math-microbenchmark,ours-rules-naive,6,754.902,1233013,507992,11
math-microbenchmark,ours-rules-naive,7,749.004,1233013,507992,11
math-microbenchmark,ours-rules-naive,8,741.437,1233013,507992,11
math-microbenchmark,ours-rules-naive,9,745.056,1233013,507992,11
math-microbenchmark,ours-rules-naive,10,746.506,1233013,507992,11
math-microbenchmark,ours-rules-semi,1,980.065,1254916,518063,11
math-microbenchmark,ours-rules-semi,2,944.760,1254916,518063,11
math-microbenchmark,ours-rules-semi,3,928.984,1254916,518063,11
math-microbenchmark,ours-rules-semi,4,950.480,1254916,518063,11
math-microbenchmark,ours-rules-semi,5,933.815,1254916,518063,11
math-microbenchmark,ours-rules-semi,6,949.854,1254916,518063,11
math-microbenchmark,ours-rules-semi,7,944.852,1254916,518063,11
math-microbenchmark,ours-rules-semi,8,940.028,1254916,518063,11
math-microbenchmark,ours-rules-semi,9,945.709,1254916,518063,11
math-microbenchmark,ours-rules-semi,10,953.382,1254916,518063,11
math-microbenchmark,ours-native-naive,1,646.854,755926,446915,11
math-microbenchmark,ours-native-naive,2,648.598,755926,446915,11
math-microbenchmark,ours-native-naive,3,639.824,755926,446915,11
math-microbenchmark,ours-native-naive,4,632.179,755926,446915,11
math-microbenchmark,ours-native-naive,5,649.026,755926,446915,11
math-microbenchmark,ours-native-naive,6,651.789,755926,446915,11
math-microbenchmark,ours-native-naive,7,634.123,755926,446915,11
math-microbenchmark,ours-native-naive,8,642.848,755926,446915,11
math-microbenchmark,ours-native-naive,9,642.968,755926,446915,11
math-microbenchmark,ours-native-naive,10,647.557,755926,446915,11
math-microbenchmark,ours-native-semi,1,756.056,755917,446915,11
math-microbenchmark,ours-native-semi,2,772.633,755917,446915,11
math-microbenchmark,ours-native-semi,3,761.440,755917,446915,11
math-microbenchmark,ours-native-semi,4,766.796,755917,446915,11
math-microbenchmark,ours-native-semi,5,739.864,755917,446915,11
math-microbenchmark,ours-native-semi,6,773.655,755917,446915,11
math-microbenchmark,ours-native-semi,7,761.982,755917,446915,11
math-microbenchmark,ours-native-semi,8,768.506,755917,446915,11
math-microbenchmark,ours-native-semi,9,737.199,755917,446915,11
math-microbenchmark,ours-native-semi,10,745.688,755917,446915,11
